Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader,A_IndividualProperties,B_IndividualProperties
1,0,143.826,0,1,1,6,0,0,54.7556,1,1,0,0,0,1,1,0,0,0,0,41,0,1,54.3819,1,1,0,0,0,1,1,0,0,0,0,None,None
2,0,230.965,0,1,1,13,0,0,50.4217,1,1,0,0,0,1,1,0,0,0,0,96,0,1,53.6578,1,1,0,0,0,1,1,0,0,0,0,None,None
3,0,661.788,0,1,1,17,0,0,16.7325,1,1,0,0,0,1,1,0,0,0,0,16,0,1,31.8341,1,1,0,0,0,1,1,0,0,0,0,None,None
4,0,363.042,0,1,1,24,0,0,25.1341,1,1,0,0,0,1,1,0,0,0,0,28,0,1,24.2832,1,1,0,0,0,1,1,0,0,0,0,None,None
5,0,312.26,0,1,1,33,0,0,40.6728,1,1,0,0,0,1,1,0,0,0,0,160,0,1,51.2454,1,1,0,0,0,1,1,0,0,0,0,None,None
6,0,575.485,0,1,1,34,0,0,46.7212,1,1,0,0,0,1,1,0,0,0,0,207,0,1,46.8979,1,1,0,0,0,1,1,0,0,0,0,None,None
7,0,623.067,0,1,1,37,0,0,28.0571,1,1,0,0,0,1,1,0,0,0,0,43,0,1,19.6776,1,1,0,0,0,1,1,0,0,0,0,None,None
8,0,212.94,0,1,1,89,0,0,51.183,1,1,0,0,0,1,1,0,0,0,0,264,0,1,52.8355,1,1,0,0,0,1,1,0,0,0,0,None,None
9,0,269.793,0,1,1,119,0,0,20.9176,1,1,0,0,0,1,1,0,0,0,0,69,0,1,34.3996,1,1,0,0,0,1,1,0,0,0,0,None,None
10,0,264.251,0,1,1,124,0,0,51.8397,1,1,0,0,0,1,1,0,0,0,0,269,0,1,53.4856,1,1,0,0,0,1,1,0,0,0,0,None,None
11,0,443.981,0,1,1,126,0,0,21.1711,1,1,0,0,0,1,1,0,0,0,0,83,0,1,35.8609,1,1,0,0,0,1,1,0,0,0,0,None,None
12,0,304.286,0,1,1,127,0,0,46.7705,1,1,0,0,0,1,1,0,0,0,0,102,0,1,27.4345,1,1,0,0,0,1,1,0,0,0,0,None,None
13,0,78.137,0,1,1,136,0,0,32.0056,1,1,0,0,0,1,1,0,0,0,0,112,0,1,37.1143,1,1,0,0,0,1,1,0,0,0,0,None,None
14,0,144.309,0,1,1,169,0,0,49.586,1,1,0,0,0,1,1,0,0,0,0,279,0,1,54.5846,1,1,0,0,0,1,1,0,0,0,0,None,None
15,0,157.548,0,1,1,174,0,0,20.1425,1,1,0,0,0,1,1,0,0,0,0,118,0,1,31.9763,1,1,0,0,0,1,1,0,0,0,0,None,None
16,0,141.926,0,1,1,182,0,0,50.0208,1,1,0,0,0,1,1,0,0,0,0,340,0,1,52.496,1,1,0,0,0,1,1,0,0,0,0,None,None
17,0,171.394,0,1,1,183,0,0,44.1562,1,1,0,0,0,1,1,0,0,0,0,347,0,1,46.8906,1,1,0,0,0,1,1,0,0,0,0,None,None
18,0,3.59115,0,1,1,211,0,0,35.0802,1,1,0,0,0,1,1,0,0,0,0,120,0,1,33.093,1,1,0,0,0,1,1,0,0,0,0,None,None
19,0,189.097,0,1,1,216,0,0,24.3044,1,1,0,0,0,1,1,0,0,0,0,140,0,1,18.0885,1,1,0,0,0,1,1,0,0,0,0,None,None
20,0,409.715,0,1,1,217,0,0,23.0034,1,1,0,0,0,1,1,0,0,0,0,141,0,1,17.2887,1,1,0,0,0,1,1,0,0,0,0,None,None
